AUC_PR,Kernel_size,accuracy,loss,mean_absolute_error
0.9099318385124207,4.0,0.9725720286369324,0.04080665111541748,0.02541440911591053
0.8975245952606201,4.0,0.9740185737609863,0.04359849914908409,0.028050275519490242
0.8890175819396973,4.0,0.974780261516571,0.04928215593099594,0.03523026406764984
0.8882643580436707,4.0,0.9728875756263733,0.039070844650268555,0.023890996351838112
0.8843318819999695,4.0,0.9741467237472534,0.03933510184288025,0.02062767557799816
0.9284706115722656,8.0,0.9759564399719238,0.03450077027082443,0.0167933888733387
0.9279436469078064,8.0,0.9762921333312988,0.031244652345776558,0.016575580462813377
0.9362403154373169,8.0,0.9752050638198853,0.03326304256916046,0.020115256309509277
0.9283846616744995,8.0,0.9749072194099426,0.03721411153674126,0.018594197928905487
0.9252010583877563,8.0,0.9738879203796387,0.03705618530511856,0.019609589129686356
0.9386757612228394,16.0,0.9759545922279358,0.03542955964803696,0.022631270810961723
0.9382359981536865,16.0,0.9748431444168091,0.034992098808288574,0.01725701615214348
0.9405679702758789,16.0,0.9757537841796875,0.03178909420967102,0.016564741730690002
0.9443300366401672,16.0,0.9757922291755676,0.031930554658174515,0.01700766570866108
0.9382330179214478,16.0,0.9741827249526978,0.03264349326491356,0.016486000269651413
0.9198441505432129,32.0,0.9758020043373108,0.03321462869644165,0.01683756895363331
0.9366296529769897,32.0,0.9759265184402466,0.033101171255111694,0.018184583634138107
0.9447207450866699,32.0,0.9758434891700745,0.03383959084749222,0.01636018231511116
0.9360284805297852,32.0,0.9759466648101807,0.03333621099591255,0.016339650377631187
0.9416335225105286,32.0,0.9764611721038818,0.03312671557068825,0.016865771263837814
0.9334972500801086,64.0,0.9767907857894897,0.029358960688114166,0.015958597883582115
0.9323904514312744,64.0,0.9757159352302551,0.03714517131447792,0.016252426430583
0.9222831726074219,64.0,0.9760125875473022,0.03467291593551636,0.015522804111242294
0.9386255741119385,64.0,0.975872814655304,0.037596445530653,0.017587024718523026
0.9335220456123352,64.0,0.9764654636383057,0.03111056610941887,0.01630185917019844
0.9309550523757935,128.0,0.9754730463027954,0.033601291477680206,0.017330387607216835
0.9354351758956909,128.0,0.9761364459991455,0.031249426305294037,0.016347602009773254
0.9395273923873901,128.0,0.975297212600708,0.03870832920074463,0.0171057041734457
0.9135587215423584,128.0,0.975740373134613,0.03514793515205383,0.016895746812224388
0.9363537430763245,128.0,0.9765082001686096,0.03202194347977638,0.015401704236865044
